Nama,Alamat,Latitude,Longitude
Super Honda Bumiayu,JL. DIPONEGORO 525 JTSAWIT BUMIAYU,-7.26203,109.00974
Honda Central Sakti Motor Wonogiri,Jl. A. Yani no. 141,-7.810302,110.924207
Honda Central Sakti Motor Nusukan,"Jl. K. Tendean no. 77, Nusukan",-7.54797,110.820931
Sps Motor Ajibarang,"Jl. Pancasan F8-F9, Ajibarang Wetan",-7.416111,109.078611
Surya Agung Motor Sokaraja,"Jl. Gatot Subroto, Ds Sokaraja Kdl",-7.459167,109.298889
Nusantara Sakti Kartasura,Jl. Jend Sudirman 179,-7.554344,110.747116
Honda Jaya Motor Kudus,Jl. Sunan Kudus 100,-6.806567,110.83689
Muncul Jaya Motor Bangsri,"Jl. Raya Bangsri RT 5 / 10, Kel. Bangsri",-6.522412,110.76392
Comal Abadi Motor,Jl. Jend Sudirman No.26,-6.898441,109.532442
Cempaka Motor Godong,"JL. JEND. SUDIRMAN 152, DS GODONG",-7.02232,110.77266
Jaya Abadi. Cv,Jl. Pemuda 226 A Boja,-7.10363,110.269256
Kurnia Kasih Motor Dealer Motor Honda Semarang,Jl. Perintis Kemerdekaan no. 178B,-7.064633,110.412065
Taruna Jaya Motor Solo,JL. VETERAN NO.180 KEC. SERENGAN,-7.58082,110.81735
Honda Cendana Sukorejo,Jl. Raya Sukorejo-Weleri RT.5 RW 2,-7.084193,110.042305
Cahaya Sakti Motor Karangpandan,"Jl. Lawu 215, Karangpandan",-7.615388,111.06036
Timbul Jaya Motor Boyolali,Jl. Raya Solo - Semarang,-7.51736,110.593077
Bengkel Ahass Jaya Abadi 7942,JL. GAJAH RAYA NO.22,-6.99626,110.44628
Abadi Motor Ambarawa,Jl. Jend. Sudirman No.100,-7.254031,110.413499
Super Honda Ketanggungan,"JL. KARTINI NO.413, KETANGGUNGAN",-6.93114,108.88912
Honda Naga Mas Motor Sukoharjo,Jl. Jend. Sudirman No.130 Gayam,-7.674955,110.839965
Osaka Motor,Jl. S. Parman Rt.05/04 No.84,-7.450278,109.243056
Cv. Mekar Chandra Jaya,Jl. Bhayangkara No.10,-7.300833,108.756944
Laksana Wira Motor,Jl. Gajah Mada No. 11 Kunden,-7.077611,111.08891
Dealer & Bengkel Honda Randudongkal | Sanjaya Motor Randudongkal,JL. JEND. SUDIRMAN N0. 21,-7.10016,109.33109
Dealer Honda Nusantara Sakti Magelang,Jl. Bambang Soegeng komplek ruko,-7.516667,110.225833
Honda Naga Mas Motor Brebes,Jl. P. Diponegoro No.109 Brebes,-6.87035,109.038086
Muncul Jaya Sakti Wiradesa,Jl. Raya Wiradesa No.482 Kepatihan,-6.891134,109.616095
Nusantara Sakti Penggaron,Jalan Brigjen Sudiarto No. 773,-7.020112,110.496139
Cv. Rama Jaya Wonogiri,Jl Jend Sudirman No 225 Bauresan,-7.818297,110.922707
Cahaya Sakti Motor Rajiman,Jl. Dr. Rajiman No.647 Laweyan,-7.568414,110.787696
Dealer & Bengkel Ahass Honda Jaya Motor Thamrin Semarang,Jl. MH Thamrin No.51,-6.986539,110.417417
Honda 54 Motor Limpung,Jl. Raya Sempu No. 389,-7.003372,109.925147
Astra Motor Slawi,Ruko Pasar Baru Blok B1 No. 1,-6.98611,109.14082
Astra Motor Mranggen,Jl. Raya Bandungrejo 20,-7.023504,110.506051
Honda Cendana Wangi Kedungwuni,Jl. Raya Ambokembang No. 117,-6.95201,109.649643
Astra Motor Pekalongan 2 - Kajen,Jl. Diponegoro No.815,-7.026804,109.584013
Astra Motor Randudongkal (pemalang 2),Jl. Jend Sudirman No 299,-7.099374,109.32198
Astra Motor Blora 2,"Jl. Diponegoro No. 48 RT 005,RW 005",-7.143594,111.595899
Laksana Motor Gubug,Jl. A. Yani No.46 Rt.03/02 Gubug,-7.052111,110.661148
Nagamas Motor Pedan,Jl. Raya Selatan Pasar Pedan No.4,-7.696533,110.701767
Timbul Jaya Motor Sragen,"Jl. Raya Solo - Sragen KM 12, Kel. Jati",-7.472268,110.928305
Zirang Honda A Yani,Jl. Achmad Yani No.170,-6.991345,110.425908
Honda Naga Mas Motor Slawi,Jl. Jend. A. Yani No. 109,-6.976563,109.140017
Astra Motor Pemalang,Jl. A. Yani No. 3 Pemalang,-6.890531,109.382647
Anugerah Utama Motor (aum) Purbalingga,Jl. Sudirman 142 A Purbalingga,-7.39,109.365556
Bonanza Muntilan,Jl. Pemuda Barat RT 017 RW 001,-7.578056,110.274722
Astra Motor Kebumen,Jl. Pemuda No.26,-7.671944,109.660278
Astra Motor Wonosobo,"Jl. Jend. A. Yani, RT 02/07 No.140",-7.373889,109.899444
Prima Zirang Utama Pati Honda,Jl. Dr. Susanto No. 18,-6.74849,111.04148
Cendana Mekar Wangi,Jl. A. Yani No.88 Kel.Bener Kec. Wiradesa,-6.890725,109.063205
Dealer Nusantara Sakti Sragen,Jl. Sukowati no.411,-7.422078,111.033909
Naga Mas Motor Wonogiri,Jl. Diponegoro Jatirejo RT.01/08,-7.812328,110.937962
Astra Motor Rembang,Pemuda no. 55,-6.715757,111.344243
Astra Motor Brebes 1 Ketanggungan,Jl A Yani No 50 Kel Brebes,-6.931187,108.893012
Astra Motor Majenang,Jl. Diponegoro No. 288,-7.298611,108.769444
Cv. Cendana Mulia Ungaran,Jalan Diponegoro No. 244,-7.141741,110.405993
Astra Motor Pati Pemuda,Jl. Panglima Sudirman 70 RT 04/01,-6.754184,111.04266
Honda Prima Pemalang,JL. MOHCTAR NO 9,-6.891274,109.380201
Cv Mitra Angkasa Jaya Utama Ungaran,Jl. Jend. Sudirman 130 RT 003 RW 004,-7.1846,110.293099
Dealer Honda Prima Batang & Ahass Prima Batang,JL. JEND. SUDIRMAN NO. 375,-6.906776,109.728133
Dealer Dan Ahass Cm Jaya Motor Demak,"Jl. Sultan Fatah 8, Kel. Jogoloyo, Kec. Wonosalam",-6.904214,110.626559
Dealer Wing & Bengkel Honda Banjarnegara | Sanjaya Motor Banjarnegara,JL. LETJEN SUPRAPTO NO.66,-7.39889,109.69028
Tunas Honda - Tdm Parakan,Jl. Raya Ngadirejo,-7.278611,110.097778
Cahaya Sakti Motor Sragen,"Jl. Raya Sukowati no, 412 Sragen",-7.424942,111.030364
Jaya Motor Rembang,Jl. Gajah Mada,-6.702135,111.326891
Honda Prima Kendal,JL. HABIPROYO NO.28,-6.92257,110.202313
Honda Nusantara Sakti,Jl. Yos Sudarso No.9 Kel.Mintaragen,-6.85526,109.1419
Cendana Giri Purworejo,Jl. Brigjend Katamso No. 44 A,-7.726389,110.003889
Kompo Motor Sokaraja,Jl. Jend. Sudirman RT 002/003,-7.456389,109.291667
Comal Abadi Motor Taman,Jl. Perintis Kemerdekaan,-6.89436,109.42254
Prima Zirang Utama Kudus,Jl. R. Agil Kusumadya 22,-6.827407,110.831516
Cahaya Sakti Motor Wonogiri,Jl A. Yani No 108,-7.805958,110.921763
Sanjaya Motor Sidareja,Jend Sudirman n0.166 Sidareja,-7.486389,108.810278
Zirang Honda Brebes,Jln P Diponegoro No 150 RT 5 RW 1,-6.868815,109.033047
Naga Mas Motor,Jl. Pandanaran no.347 RT 01/02,-7.519545,110.596802
Astra Motor Brebes 2 - Honda,Jl. Diponegoro,-7.256651,109.007293
Astra Motor Banjarnegara,JL. PEMUDA NO. 73 RT. 001 RW. 008,-7.39207,109.69655
Astra Motor Center Semarang,Jln. Gajah Mada No. 88,-6.978103,110.4211
Astra Motor Rembang 2,JL. Diponegoro No.15,-6.704322,111.333966
Astra Motor Lasem,Jl. Raya Lasem No.62,-6.696197,111.442341
PT. Netral Jaya Motor Sidareja,Jl. Jendral Sudirman 155 RT 03/04,-7.485278,108.796111
Zirang Setiabudi,Jl. Setiabudi No.205A RT 2 RW 2,-7.058055,110.414249
Taruna Jaya Motor Karanganyar,"JL. LAWU NO. 243, TEGALWINANGUN",-7.60338,110.97041
Astra Motor Brebes 3,JALAN DIPONEGORO NO.160,-6.867079,109.025688
Dealer Honda Nusantara Sakti Bumiayu,Jalan Diponegoro 187,-7.249433,109.006308
Honda Abadi Motor Parakan,JL KOSASIH NO 48,-7.28181,110.09939
Diler Resmi Motor Honda Terdekat Kebumen - Cendana Megah Lestari,JL. TENTARA PELAJAR NO. 50,-7.67314,109.67099
Astra Motor Tegal 2 (bongkok),Jl. Garuda Perum Bumi Bongkok Asri,-6.883186,109.187063
Astra Motor Ungaran,Jl. Diponegoro No. 758 Ungaran,-7.133289,110.403717
Astra Motor Kaliwungu,JL. RAYA BARAT NO 348,-6.953358,110.240788
Nusantara Sakti Nguter,Jl. Raya Solo Wonogiri No.39 Nguter,-7.730989,110.869967
Astra Motor Purwodadi,JL. JEND. SUDIRMAN NO. 29,-7.07807,110.91646
Astra Motor Batang,JL. P. DIPONEGORO NO 2,-6.90792,109.730839
Honda Prima Unggul Jaya,JL. WOLTER MONGINSIDI NO 17 A,-6.98663,110.47451
Astra Motor Purworejo,JL. JEND. SUDIRMAN NO.26A,-7.719722,110.000556
Motor Bathara Sakti,Jl. Soekarno Hatta 18,-6.999722,110.465556
Aneka Motor,Jl. Komodo Desa Kauman,-6.714444,111.143056
Padmanaba I,Jl. Raya Boyolali Kav . 789,-7.450833,110.542778
Taruna Motor Sport,Jl. Bhayangkara No.78,-7.576667,110.808889
Anugerah Motor,JL. P. DIPONEGORO 701 RT. 04/07,-7.26667,109.01333
Motor Cahaya Sejati,Jl. Raya Mranggen No. 27,-7.025278,110.513611
Sumber Karya,Jl. Raya Batu Lor 4,-7.977222,110.932778
Ud. Prima Jaya,JL. PROF. HAMKA NO. 7,-6.99444,110.34972
Judha Motor Ii,Tentara Pelajar 2,-7.717222,110.004722
Buana Sari Service,Jl. DR Muwardi 45 A rt.02 rw.07,-7.683889,110.8475
Rado Motor,Jl. Jend. Sudirman Timur No. 10 desa randudongkal,-7.099722,109.321667
Arie Indah Motor,Jl. Raya Kudus-Jepara Km. 5 Mijen,-6.791667,110.795
Family Motor,Jl. A. Yani No. 100 A,-7.381667,109.897222
Taruna Motor,JL. Raya Masaran No. 15,-7.466944,110.9375
Mega Berlian,Jl. Raya Sukowati Gemolong,-7.3975,110.828611
Karya Abadi,Jl. Raya Jatisrono,-7.826667,111.130556
Surya Motor,Jl. Mayjen.S.Parman NO. 97 DESA KAUMAN WIRADESA,-6.891667,109.613056
Wahana Abadi Motor,JL.JEND.A.YANI 39,-6.8725,109.045833
Mulya Jaya,"MOYORETNO RT.003 RW.012,DESA MATESIH",-7.650174,111.046485
Mercusuar Sakti Motor,JL. Pucang Gading 128 Mragen,-7.0399,110.494167
Naga Sakti,Jl.Ngesrep Timur V/75,-7.051389,110.426111
Koperasi Handayani,JL. TAMAN SISWA NO. 84,-7.055,110.39472
