Nama,Alamat,Wilayah,Latitude,Longitude
Bengkel Ahass Jaya Abadi 7942,JL. GAJAH RAYA NO.22,"Karangtempel, Kota Semarang",-6.99626,110.44628
Abadi Motor Ambarawa,Jl. Jend. Sudirman No.100,"Pungguang Kasiak Lubuk Alung, Kabupaten Semarang",-7.254031,110.413499
Super Honda Ketanggungan,"JL. KARTINI NO.413, KETANGGUNGAN","Ketanggungan, Kabupaten Brebes",-6.93114,108.88912
Honda Naga Mas Motor Sukoharjo,Jl. Jend. Sudirman No.130 Gayam,"Gayam, Kabupaten Sukoharjo",-7.674955,110.839965
Osaka Motor,Jl. S. Parman Rt.05/04 No.84,"Kota Baru, Kabupaten Banyumas",-7.450278,109.243056
Cv. Mekar Chandra Jaya,Jl. Bhayangkara No.10,"Jenang, Kabupaten Cilacap",-7.300833,108.756944
Laksana Wira Motor,Jl. Gajah Mada No. 11 Kunden,"Sungai Daeng, Kabupaten Grobogan",-7.077611,111.08891
Dealer & Bengkel Honda Randudongkal | Sanjaya Motor Randudongkal,JL. JEND. SUDIRMAN N0. 21,"Randudongkal, Kabupaten Pemalang",-7.10016,109.33109
Dealer Honda Nusantara Sakti Magelang,Jl. Bambang Soegeng komplek ruko,"Mertoyudan, Kabupaten Magelang",-7.516667,110.225833
Honda Naga Mas Motor Brebes,Jl. P. Diponegoro No.109 Brebes,"Brebes, Kabupaten Brebes",-6.87035,109.038086
Muncul Jaya Sakti Wiradesa,Jl. Raya Wiradesa No.482 Kepatihan,"Pekuncen, Kabupaten Pekalongan",-6.891134,109.616095
Nusantara Sakti Penggaron,Jalan Brigjen Sudiarto No. 773,"Plamongan Sari, Kota Semarang",-7.020112,110.496139
Cv. Rama Jaya Wonogiri,Jl Jend Sudirman No 225 Bauresan,"Giritirto, Kabupaten Wonogiri",-7.818297,110.922707
Cahaya Sakti Motor Rajiman,Jl. Dr. Rajiman No.647 Laweyan,"Pajang, Kota Surakarta",-7.568414,110.787696
Dealer & Bengkel Ahass Honda Jaya Motor Thamrin Semarang,Jl. MH Thamrin No.51,"Miroto, Kota Semarang",-6.986539,110.417417
Honda 54 Motor Limpung,Jl. Raya Sempu No. 389,"Sempu, Kabupaten Batang",-7.003372,109.925147
Astra Motor Slawi,Ruko Pasar Baru Blok B1 No. 1,"Paal, Kabupaten Tegal",-6.98611,109.14082
Astra Motor Mranggen,Jl. Raya Bandungrejo 20,"Paal, Kabupaten Demak",-7.023504,110.506051
Honda Cendana Wangi Kedungwuni,Jl. Raya Ambokembang No. 117,"Dauhwaru, Kabupaten Pekalongan",-6.95201,109.649643
Astra Motor Pekalongan 2 - Kajen,Jl. Diponegoro No.815,"Kajen, Kabupaten Pekalongan",-7.026804,109.584013
Astra Motor Randudongkal (pemalang 2),Jl. Jend Sudirman No 299,"Andalas, Kabupaten Pemalang",-7.099374,109.32198
Astra Motor Blora 2,"Jl. Diponegoro No. 48 RT 005,RW 005","Painan Timur Painan, Kabupaten Blora",-7.143594,111.595899
Laksana Motor Gubug,Jl. A. Yani No.46 Rt.03/02 Gubug,"Gubug, Kabupaten Grobogan",-7.052111,110.661148
Nagamas Motor Pedan,Jl. Raya Selatan Pasar Pedan No.4,"Palangka, Kabupaten Klaten",-7.696533,110.701767
Timbul Jaya Motor Sragen,"Jl. Raya Solo - Sragen KM 12, Kel. Jati","Menteng, Kabupaten Sragen",-7.472268,110.928305
Zirang Honda A Yani,Jl. Achmad Yani No.170,"Jagalan, Kota Semarang",-6.991345,110.425908
Honda Naga Mas Motor Slawi,Jl. Jend. A. Yani No. 109,"Banjarejo, Kabupaten Tegal",-6.976563,109.140017
Astra Motor Pemalang,Jl. A. Yani No. 3 Pemalang,"Mulyoharjo, Kabupaten Pemalang",-6.890531,109.382647
Anugerah Utama Motor (aum) Purbalingga,Jl. Sudirman 142 A Purbalingga,"Purbalingga Kidul, Kabupaten Purbalingga",-7.39,109.365556
Bonanza Muntilan,Jl. Pemuda Barat RT 017 RW 001,"Rambipuji, Kabupaten Magelang",-7.578056,110.274722
Astra Motor Kebumen,Jl. Pemuda No.26,"Kebumen, Kabupaten Kebumen",-7.671944,109.660278
Astra Motor Wonosobo,"Jl. Jend. A. Yani, RT 02/07 No.140","Jaraksari, Kabupaten Wonosobo",-7.373889,109.899444
