Nama,Alamat,Wilayah,Latitude,Longitude
Cv Spectra Jaya Niaga,JL. P. DIPONEGORO NO. 48 RT/RW 003/015,Kabupaten Brebes,-6.86889,109.03194
Rachmat Motor,JL. DR. SUTOMO NO. 1,Kabupaten Blora,-6.96583,111.41306
Cv Sinar Asaku Sukses,JL. JENDRAL SUDIRMAN NO. 33,"Wates, Kabupaten Semarang",-7.25056,110.41639
Sragen Honda Servis,"DK MUNGKUNG,KEL.JETAK,KEC.SIDOHARJO","Jetak, Kabupaten Sragen",-7.433611,110.993056
Langgan Jaya Motor,Jl. Raya Banjaran Selatan No. 25,"ADIWERNA, Kabupaten Tegal",-6.958056,109.138333
Chandra Motor,Jl. Yos Sudarso 227 Gombong Kebumen,"Kauman, Kabupaten Kebumen",-7.608889,109.515
By Pass Motor 2,JL.PANDANARAN NO.213,Kabupaten Boyolali,-7.52833,110.60139
Agung Motor Dua Jepara,Jl. Shima Km 2,"Jobokuto, Kabupaten Jepara",-6.587222,110.676667
PT. Naga Mas Mitra Sejati,Jl. Diponegoro 2,Kota Tegal,-6.868333,109.136389
Motor Cahaya Sakti,Jl. Tlogosari Raya No. 12,Kota Semarang,-6.988889,110.458333
By Pass Motor 3,"KIOS SRI MULYO NO.14,PRAMBANAN","Kebon Dalem Kidul, Kabupaten Klaten",-7.75504,110.50184
Brahma Motor,Jl. Sukun Raya No.55,Kota Semarang,-7.066389,110.418056
Surya Cipta Pratama,JL. DR. CIPTO NO. 82,Kabupaten Semarang,-6.9825,110.43544
Sumber Jaya Sakti Motor,Jl. Pandanaran No. 21,Kabupaten Boyolali,-7.538333,110.608333
Kartika Motor Ii,JL. JEND SUDIRMAN 185 A,Kota Salatiga,-7.33972,110.50861
Taruna Star Motor,"JL.KOL.SUTARTO NO.122,RT 001 RW 026","Jebres, Kota Surakarta",-7.557336,110.847331
Motor Cahaya Abadi,Jl. Kaligarang Raya No. 54,Kota Semarang,-6.996111,110.403056
PT. Armada Tunas Jaya,JL. A. YANI NO. 244-246 ARMADA ESTATE,"Ruko Armada Estate, Kota Magelang",-7.45111,110.22389
Bintang Sakti,Jl. Hasanudin Raya No. 496 A,Kota Semarang,-6.966667,110.411389
Anugrah Jaya,JL. MR. Sutan Syahrir Km 5/266,"Gebangsari, Kota Semarang",-6.956111,110.465833
Toko Menajaya Motor,JAGALAN,Kota Semarang,-6.97778,110.42722
Karya Mulia,"Jl.RM Said, Singodutan","Brumbung.Selogiri, Kabupaten Wonogiri",-7.796944,110.906667
Maju Jaya Motor,JL. JENDERAL ACHMAD YANI NO. 48,Kota Salatiga,-7.33417,110.50222
By Pass Motor 4,"JL.RAYA SOLO-YOGYA NO.185,KEL.SABRANG,KEC.DELANGGU","Sabrang, Kabupaten Klaten",-7.62376,110.69746
Timbul Jaya Motor,JL.KP TENDEAN NO.196 RT 001 RW 015,"Nusukan, Kota Surakarta",-7.541667,110.820278
Sumber,Jl. Raya Sukowati 111,"Kec. Beloran, Kabupaten Sragen",-7.42974,111.008056
Mandala Motor,JL. KH AGUS SALIM NO 224,"Wergu Kulon, Kabupaten Kudus",-6.817778,110.840833
Krida Jaya Motor,JL.LAWU BARAT NO.567 TEGALARUM RT.002 RW.013,"Cangakan, Kabupaten Karanganyar",-7.590278,110.929444
Buana Sari Motor Ii,JL.SLAMET RIYADI NO 53,"Kartasura, Kabupaten Sukoharjo",-7.553611,110.739722
Gawerejo Motor,Jl. Rm Said No. 200,Kota Surakarta,-7.5575,110.813333
Galuh Motor,"JL.BANDARA ADISUMARMO 91,COLOMADU","Malangjiwan, Kabupaten Karanganyar",-7.529494,110.748037
Jawa Motor,Jl. A Yani 350,Kabupaten Purworejo,-7.7125,110.016944
Ratu Motor,Jl. A Yani No. 30 Purwosari,"Purwosari, Kabupaten Pemalang",-6.904722,109.533611
Ud. Ajima Motor,BANGSRI 01/13,Kabupaten Jepara,-6.52556,110.76028
Cv. Cipta Jaya Rembang,JL. RAYA TANJUNGAN - KRAGAN,Kabupaten Rembang,-6.70936,111.63414
Toko Bintang Motor,Pasar Porda Juwana Kios No 7,Kabupaten Deli Serdang,-6.810278,110.838056
Naga jaya,Jl. A. Yani 28 A,Kabupaten Purworejo,-7.718793,110.0146
Surabaya motor,Jl. Letjen. Sukowati No. 25,Kabupaten Semarang,-7.342943,110.509949
Cv Inti Karya Niaga,Jl. Brigjend Katamso No.04,Kabupaten Karo,-6.856389,109.131944
Lubar motor,Jl. Kol. Sugiono No. 2,Kabupaten Tapanuli Tengah,-7.7103,110.0145
Sumber jaya motor,Jl. A. Yani 28 A,Kabupaten Tapanuli Selatan,-7.714437,110.013413
Tugu besi motor,Jl. Pemuda No. 67,Kabupaten Aceh Besar,-7.584588,110.287156
Andalan motor,Jl. A. Yani No. 20 Ruko Permai,Kabupaten Aceh Barat,-7.533961,110.773633
JemberÂ motor,Jl. Ruko Jember Permai No. 12,Kabupaten Nagan Raya,-6.745556,110.7525
Siliwangi motor,Jl. Jend Sudirman No. 129A,Kabupaten Aceh Selatan,-6.190896,110.397386
Berkat Jaya Motor,JL. GAJAH RAYA NO.161,Kabupaten Aceh Selatan,-6.98645,110.4482
Cv.jaya Abadi,Jl.MT.Haryono No.399,Kabupaten Aceh Selatan,-6.988122,110.43111
Cv Jaya Agung Motor,Jl.Yos Sudarso No.198,Kabupaten Aceh Selatan,-7.577778,110.821667
Sayangan Motor,Jl.MT.Haryono No.28A,Kabupaten Aceh Selatan,-7.000556,110.433056
Sidorejo Motor,"Ringin Mulyo , Danguran",Kabupaten Aceh Selatan,-7.727778,110.586389
Cv.nagamas Surya Abadi,Jl.Pemuda No.66,Kabupaten Aceh Selatan,-7.706508,110.59916
Toko Garuda Motor,Jl. Kratonan No.104,Kabupaten Aceh Selatan,-7.577222,110.822222
Setia Jaya Motor,Kios Pasar Pesayangan,Kabupaten Aceh Selatan,-6.814444,110.844444
Abadi Jaya Motor,"Jl.Jend.Sudirman , Makutoromo 21B",Kabupaten Aceh Selatan,-7.255278,110.408889
Central Jaya Motor,Jl.MT.Haryono No.644,Kabupaten Aceh Selatan,-7.000278,110.399444
Laksana Baru Motor,Jl.R.Suprapto No.112,Kabupaten Aceh Selatan,-7.088056,110.914444
Hasil Perkasa Motor,Jl.Gajah Mada Ruko Pentungan No.5,Kabupaten Aceh Selatan,-6.699444,111.321944
Indraprasta Motor,Jl.Indraprasta No.88,Kabupaten Aceh Selatan,-6.978056,110.406667
Irvan Motor,Jl.Moh.Yamin No.2 A,Kabupaten Aceh Selatan,-7.340556,110.494722
Taruna motor,Jl. Raya No. 641 Wiradesa,Kabupaten Aceh Selatan,-6.891655,109.620591
Teguh bima motor,Jl. Cipto Mangunkusumo No. 171-173,Kabupaten Aceh Selatan,-6.74762,111.028045
Toko Sami Aji,Jl.Tentara Pelajar Gedanganak,Kabupaten Aceh Selatan,-7.008889,110.436389
Toko Olie Kurnia Alam,Jl. Tanjunghanom No.76,Kabupaten Aceh Selatan,-7.585,110.819444
Mahkota Motor,Jl Johar No 93 Kel Wergu Wetan,Kabupaten Aceh Selatan,-6.811111,110.846944
Seiabudi Motor,Ruko Setiabudo Kav 9-10 Banyumanik,Kabupaten Aceh Selatan,-7.048611,110.419444
Nina Motor,Tahunan RT 01 RW 05 Desa Tuhunan,Kabupaten Aceh Selatan,-6.589444,110.672222
Ud Kualitas Motor,Desa Karangbener RT 03 RW 04,Kabupaten Aceh Selatan,-6.786667,110.88
Resh Motor,Karanggede-Gemolong KM 1 Kebonan,Kabupaten Aceh Selatan,-7.361389,110.643889
Mataram mitra sentosa,Jl. MT Haryono No. 291,Kabupaten Aceh Selatan,-6.978372,110.431153
Nusa indah,Jl. Jend. Sudirman No. 73,Kabupaten Aceh Selatan,-6.980451,110.399191
Planet Motor,JL. LetJend Sukowati 47B,Kabupaten Aceh Selatan,-7.331248,110.50209
Rahayu Motor,Jl. Kapten Patimura 403,Kabupaten Aceh Selatan,-7.42018,109.19762
Sido Rejo Motor,Jl. Pandanaran Km.1,Kabupaten Aceh Selatan,-7.728625,110.586909
Toko Sumber Wijaya,Jl.Gatot Subroto No.53,Kabupaten Aceh Selatan,-6.974265,111.407275
Nusantara sakti,Jl. RE Martadinata 718,Kabupaten Aceh Selatan,-7.7331,109.00385
Taruna Motor~,Jl. Raya 18,Kabupaten Aceh Selatan,-7.402551,109.136312
Aneka Motor,Jl. Soegiyopranoto 44,Kabupaten Aceh Selatan,-6.983023,110.405198
Anugrah Motor,Jl. Koprol Sayom No. 29,Kabupaten Aceh Selatan,-7.703469,110.611651
Micheel motor,Jl. Jend. Sudirman 151 Babadan,Kabupaten Aceh Selatan,-7.168188,110.414152
Soember kencana motor,Jl. DR Susanto No. 54 B,Kabupaten Aceh Selatan,-6.746241,111.041567
Wr Jaya Motor,Jl. Merbabu 100,Kabupaten Aceh Selatan,-7.531286,110.591669
Sukses Makmur Motor,Jl. Raya Banyumanik,Kabupaten Aceh Selatan,-7.064375,110.412875
Tunggal Jaya,Jl. Tamtama 69,Kabupaten Aceh Selatan,-6.976676,110.07198
Bengkel Syakura,Jl. Raya Karanganyar Gg Syeh,Kabupaten Aceh Selatan,-6.96628,109.053321
Boby Motor,Jl Cempaka 13,Kabupaten Aceh Selatan,-7.707752,110.600317
Trijaya Motor,Jl. Krekesan Ponggol II Grabag,Kabupaten Aceh Selatan,-7.370784,110.323871
Eko jaya motor,Jl.Raya Wiradesa 454,Kabupaten Pelalawan,-6.890956,109.622546
Sumber jaya motor,Jl. Depok 55,Kabupaten Pelalawan,-6.977664,110.416921
Ud inti motor,Jl. Adi Sucipto 58 Solo,Kabupaten Siak,-7.537977,110.759236
Toko Bendo Gantungan,Jl. Dr. Suradji Tirtonegoro No. 57,Kabupaten Indragiri Hulu,-7.716944,110.585278
Maju Motor,Jl. Gembong Utara 48,Kabupaten Ogan Komering Ulu Timur,-6.929797,109.727821
Central Motor,"Tambak Boyo RT 03/I no, 10",Kabupaten Pringsewu,-7.258353,110.418854
Kirana motor,Jl. Mayjend Bambang Soegeng No. 6A,Kabupaten Tanggamus,-7.522437,109.225616
Kusuma Jaya Motor,Jl.Pandanaran No.305,Kabupaten Muaro Jambi,-7.521667,110.598333
Pemuda baru,Jl. Pahlawan No. 38,Kabupaten Sarolangun,-7.670556,109.658333
Ariel Speed Shop,Jl. Genuk Pedurungan No. 20 Semarang,Kota Semarang,-6.57134,110.285019
Santos Motor,Jl.Wolter Monginsidi No.10 Rt.01/01,Kota Semarang,-6.983056,110.448611
Satria Motor,Jl. Wolter Monginsidi Genuk Semarang,Kota Semarang,-6.95456,110.543234
Santos Motor,Jl. Pasar Genuk 34 Semarang,Kota Semarang,-6.952874,110.480545
Anugrah Jaya,Jl. Kaligawe Raya KM. 5 26 C Semarang,Kota Semarang,-6.572184,110.2758
Surya Mitra Sejati,Jl. DR. Cipto 82 Semarang,Kota Semarang,-6.977859,110.435378
Nitto motor,Jl. Jati Raya H 10 Banyumanik,Kota Semarang,-7.069823,110.420835
Sidoharjo motor,Jl. MT Haryono 273,Kota Semarang,-6.977774,110.431158
Nusantara Sakti,Jl. Cendrawasih 2 Semarang,Kota Semarang,-6.969195,110.430271
Rajawali Sakti Motor,Jl. Mt Haryono 605A,Kota Semarang,-6.993215,110.431992
Usaha Jaya Motor,JL. JENDRAL SUDIRMAN NO.214,Kota Semarang,-6.98167,110.39585
Cv Karunia Usaha Jaya,JL.BRIGJEND.SUDIARTO NO.260A,Kota Semarang,-6.9805,110.40075
Bina motor,Jl. Puspowarno Raya No. 5,Kota Semarang,-6.982168,110.3954
Cv Rj Motor Semarang,Jl.Jend.Sudirman No.23,Kota Semarang,-6.98099,110.39951
Setia motor,Jl. Pemuda No. 118 C,Kota Semarang,-7.103908,110.274263
Bintang Motor,JL.SIMONGAN 115 A,Kota Semarang,-6.99405,110.3984
Jadi jaya,Jl. WR. Supratman No. 47,Kota Semarang,-6.99896,110.390218
Harapan Motor,Jl. Jend Sudirman 193 Semarang,Kota Semarang,-6.98176,110.394038
Denny Motor,JL.GAJAH NO.8,Kota Semarang,-6.98589,110.44804
Cv.jaya Sukses Rejeki,JL.GAJAH RAYA NO.161 A,Kota Semarang,-6.9867,110.44809
Yoko motor,Jl. Gajah Raya No. 35,Kota Semarang,-6.991364,110.447658
Heri Jaya Motor,Jl. Petek 128 Semarang,Kota Semarang,-6.96619,110.41813
Brotojoyo Motor,Jl. Brotojoyo Timur II No. 2A. Semarang,Kota Semarang,-6.965625,110.408154
Lion Motor,RUKO BERINGIN HILLS KAV.1 JL. BERINGIN RAYA,Kota Semarang,-6.98758,110.32933
Ac milan,Jl. Pondok Ngalian Asri K-30,Kota Semarang,-6.99213,110.351553
Lion Motor,Jl. Bringin Raya No. 1 Ruko Bringin Hills Est,Kota Semarang,-6.987566,110.329339
Tika Jaya Motor,Jl. Prof. Hamka,Kota Semarang,-6.994167,110.345
Pulung Motor,Jl. Pateran Rt 37/7 Plumbon Suruh,Kabupaten Semarang,-7.367587,110.560814
CentralÂ motor,Jl. Majapahit No. 377,Kota Semarang,-7.007778,110.467222
Kondang jaya,Jl. Tegal Kangkung No. 155A,Kota Semarang,-7.02211,110.469651
PT. Prima Niaga Sejahtera,Jl. Tlogosari Raya 16 Semarang,Kota Semarang,-6.98104,110.39775
Lancar Motor,JL. SIDOMULYO RAYA NO. 3,Kota Semarang,-6.9789,110.46177
Cv Murah,JL. BRIGJEND. SUDIARTO NO.260A,Kota Semarang,-7.00577,110.45545
Sinar Abadi Motor,Jl. Soekarno Hatta 140 Semarang,Kota Semarang,-7.018817,110.480915
Murah Lengkap,Jl.Raya Cangkiran No.8,Kota Semarang,-7.058056,110.335556
Karunia Abadi Jaya,KP. CANGKIRAN RAYA RT 02/RW 03,Kota Semarang,-7.0874,110.30909
Kantong Motor,Jl. RayaManyaran Gunung Pati 21 Semarang,Kota Semarang,-7.087012,110.362046
Putro agung motor,Jl. Pandanaran No. 166,Kabupaten Semarang,-7.425715,110.528588
Sentral Jaya Ban,Jl. Raden Patah 211,Kota Semarang,-6.962186,110.439473
Almas Motor,Jl.Raya Gunungpati-Manyaran Km.05 Rt.03/02,Kabupaten Semarang,-7.0823,110.36069
Almas Motor,"JL. RAYA GUNUNGPATI – MANYARAN KM 0.5,SEMARANG",Kabupaten Semarang,-7.08339,110.36095
Ida Motor,"Jl. Kelud Raya No.1,2,3",Kota Semarang,-7.001667,110.399444
Maximum Motor,Jl. Kelud Raya No. 60 Semarang,Kota Semarang,-7.004289,110.397753
Cv Rajawali Sakti Motor,"JL.MT HARYONO 605A, SEMARANG",Kota Semarang,-6.9932,110.43183
Toko Tiga Gelang,JL MATARAM NO 920,Kota Semarang,-7.00132,110.43345
Indoban,Jl. Dr Cipto 111A Semarang,Kota Semarang,-6.983761,110.434778
Jaya Baru Motor,Jl. Sriwijaya 90 Semarang,Kota Semarang,-7.004695,110.428974
Ud. Sriwijaya,Jl. Sriwijaya 90 Semarang,Kota Semarang,-6.977664,110.416921
Zigma Lumas,Jl.Suyudono No.52A,Kota Semarang,-6.986667,110.404722
Murah Motor,Jl. Majapahit 260A Semarang,Kota Semarang,-7.005984,110.455311
Jempol Jaya Motor,Jl. Fatmawati 46 Pedurungan Semarang,Kota Semarang,-7.01299,110.47246
Cv Jujur Maju Jaya,"JL. KARANGWULAN TIM. NO.84, JAGALAN",Kota Semarang,-6.98484,110.4301
Gajah Motor,Jl. Gajah Raya 142 Semarang,Kota Semarang,-6.989285,110.448137
Fajar Motor,Jl. Setia Budi No. 201,Kota Semarang,-7.046667,110.42
Unggul Motor,JL. SRI WIBOWO DALAM 148 KEMBANGARUM SEMARANG,Kota Semarang,-6.99218,110.37096
Makmur motor,Jl. Siliwangi No. 350,Kota Semarang,-6.986599,110.361696
Setia Budi Motor,Jl. Setia Budi 121 Kav. 9-10 Semarang,Kota Semarang,-7.049392,110.418763
Ragil Motor,Jl. Durian Selatan I Srondol Wetan Banyumanik,Kota Semarang,-7.061968,110.417454
Sukses Makmur Motor,Jl.Perintis Kemerdekaan No.196,Kota Semarang,-7.06404,110.41282
Rama motor,Jl.Jend Sudirman 49,Kota Semarang,-7.16121,110.412524
Satria Motor,Jl. Kedung Mundu 56,Kota Semarang,-7.012903,110.447767
SatriaÂ motor,Jl. Kedung Mundu 56,Kota Semarang,-7.036944,110.460833
Krisna Motor,DK. JOYOREJAN RT.006,Kota Semarang,-7.39412,110.82819
Nusa Indah Ii,Jl. Kedung Mundu 132 Semarang,Kota Semarang,-7.013389,110.451285
Elang Motor,JL. ELANG RAYA RT02/05,Kota Semarang,-7.03527,110.46129
Batas Kota,Jl. Gatot Subroto No. 3 Ungaran,Kabupaten Semarang,-7.151672,110.409413
Toko Anugerah,JL. JAYA BAYA NO.8,Kabupaten Semarang,-7.16331,110.41338
Ramee Motor,MIJEN RT.02/06 KEL. MIJEN KEC. MIJEN SEMARANG,Kabupaten Semarang,-7.06398,110.3114
Jati Jaya Motor,JL. RM. HADI SOEBONO,Kabupaten Semarang,-7.05775,110.31363
Kios 88,Jl. Moh Yamin 88 Ungaran,Kabupaten Semarang,-7.126378,110.409943
Devi Motor,JL.Kartini No.15,Kabupaten Semarang,-7.264154,110.418708
Kudus Motor,Jl. Jend. Sudirman 137,Kabupaten Semarang,-7.25808,110.405239
Gemilang Motor,Jl. Slamet Riyadi 14 Kupang Ambarawa,Kabupaten Semarang,-7.257038,110.404899
Sinar Motor,Jl. Jendral Sudirman 33 Ambarawa,Kabupaten Semarang,-7.255031,110.410088
Imanuel Motor,Jl. Kartini 4 Tambakboyo Ambarawa,Kabupaten Semarang,-7.258928,110.418811
ElektrisÂ motor,Jl. Mt. Haryono 229,Kabupaten Semarang,-7.000833,110.433333
Cv Jujur Maju Jaya,JL. KARANGWULAN TIMUR NO. 138A,Kabupaten Semarang,-6.98499,110.4301
Merdeka motor,Jl. MT Haryono No. 662 A,Kabupaten Semarang,-6.98495,110.43167
Sahabat motor,Jl. MT Haryono No. 227,Kabupaten Semarang,-6.974111,110.431111
Central Jaya Motor,Jl. Mt. Haryono 644,Kabupaten Semarang,-6.984678,110.431712
Aneka Sakti Motor+++,Jl. MT Haryono 301,Kabupaten Semarang,-6.97855,110.431195
213 Motor,Jl. Mt Haryono 213 Semarang,Kabupaten Semarang,-6.976534,110.431095
Mataram Motor,Jl. M.T Haryono 422 Semarang,Kabupaten Semarang,-6.97807,110.431609
Budi Jaya Motor,Jjl. A.Yani 62 Salatiga,Kota Salatiga,-7.334543,110.501816
Wijaya motor,Jl. Pahlawan No. 12,Kota Salatiga,-7.541572,110.603292
Famili motor,jl. Pandanaran No. 272,Kota Salatiga,-7.52315,110.599189
Wijaya motor,Jl. Pandanaran No. 335,Kota Salatiga,-7.520154,110.59729
Distro Ban,"Rejosari, Pulutan Rt 3/3 Salatiga",Kota Salatiga,-7.316784,110.485847
Super Motor,Jl.Letjend.Sukowati No.27,Kota Salatiga,-7.331381,110.503225
Surabaya Variasi,JL.SUKOWATI NO.46 RT.03/03,Kota Salatiga,-7.33111,110.50258
Cv Sumber Sukses Salatiga,JL. SEMERU NO.2,Kota Salatiga,-7.33194,110.50334
Cv Sumber Sejati,"JL. AHMAD YANI NO.31, KALICACING",Kota Salatiga,-7.33407,110.502
Sumber sejati motor,Jl. Pertokoan Pandawa 30,Kota Salatiga,-7.334218,110.502754
Super Motor,Jl. Sukowati No. 20 Salatiga,Kota Salatiga,-7.331569,110.503163
Surabaya Jaya,"Jln. Jendral Sudirman 278 B, Kalicacing, Salatiga",Kota Salatiga,-7.342918,110.510061
Yadi motor,Jl. Teuku Umar No. 45,Kota Salatiga,-7.568452,110.823748
Sumber Baru Motor,Jl. Diponegoro 124A (Depan Pom Bensin Soka) Sltga,Kota Salatiga,-7.305899,110.488079
Bambu kuning,Jl. Pattimura Km. 2 Beringin,Kota Salatiga,-7.303292,110.510048
Harapan jaya motor,Jl. Muwardi I,Kota Salatiga,-7.33503,110.507621
Royyan Jaya Motor,"Jl. Raya Tingkir-Suruh Km. 2,5 Salatiga",Kota Salatiga,-7.362133,110.537415
Sumber berkat motor,Jl. Muwardi T-41,Kota Salatiga,-7.333304,110.509002
Tresno Motor Bengkel,Jl. Fatmawati 164 Lopait Tuntang Salatiga,Kabupaten Semarang,-7.282547,110.460919
Jampelan motor,"JL. DESA JAMPELAN RT02/02, JAMPELAN KAB. SEMARANG",Kabupaten Semarang,-7.37684,110.44199
Purwodadi Motor,Jl. Raya Sruwen Salatiga Km 1/91,Kabupaten Semarang,-7.42989,110.530357
Sikhom Motor,"Ds Tempel Rt 25/06, Plumbon, Suruh, Salatiga",Kabupaten Semarang,-7.362862,110.533004
Hero Motor,Jl. Gajah Mada 48 Pekalongan,Kota Pekalongan,-6.888815,109.666766
HeroÂ motor,Jl. Gajah Mada No. 48,Kota Pekalongan,-6.888889,109.666389
Limpung motor,Jl. Raya Pungangan,Kabupaten Kendal,-7.011304,109.922191
Toko Nusantara Motor,Jl.Gajah Mada No.44,Kota Pekalongan,-6.888957,109.666838
Aneka Motor,Jl. Raya Wiradesa 478 Pekalongan,Kota Pekalongan,-6.891809,109.619281
Ud. Diamond,Jl.Wr. Supratman 18 Pekalongan,Kota Pekalongan,-6.874298,109.676937
Toko Santoso Motor,JL.TERATE NO.126,Kota Pekalongan,-6.88949,109.6809
BerdikariÂ motor,Jl. Sultan Agung No. 106,Kota Pekalongan,-6.883333,109.675
Oscar Motor,Jl. Sultan Agung 123 Pekalongan,Kota Pekalongan,-6.970589,110.190648
Wisnu Rekso,Jl. Dr Sutomo 129 Pekalongan,Kota Pekalongan,-6.902947,109.688739
Cv. Berdikari,Jl. Sultan Agung 106 Sugihwaras Pekalongan,Kota Pekalongan,-6.92044,109.72475
Jaya Motor,Jl. Gajah Mada 76,Kota Pekalongan,-6.885873,109.667584
Eva Jaya Motor,Jl. Raya Sragi 7 Pekalongan,Kabupaten Pekalongan,-6.920522,109.570482
Saba Putra Motor,Jl.Raya Sragi 965 Pekalongan,Kabupaten Pekalongan,-6.925349,109.568311
Subur Motor,Jl.Diponegoro No.19 Rt.10 Rw.04,Kabupaten Pekalongan,-7.028889,109.580278
Lumayan Motor,Jl.Diponegoro 701 Kajen Pekalongan,Kabupaten Pekalongan,-7.0137,109.499005
Toko Jaya Motor,Jl.Gembong Utara No.8 Rt.03/14,Kabupaten Pekalongan,-6.963333,109.646389
Putra Jaya,Jl. Raya Gembong 29 Kedungwuni,Kabupaten Pekalongan,-6.96209,109.646971
Areza Motor,Jl Raya Karanganyar 40 Kajen,Kabupaten Pekalongan,-7.02803,109.62615
Anjog Motor,"JL. SAWANGAN RT10/RW05, DORO, PEKALONGAN",Kabupaten Pekalongan,-7.02916,109.68473
Wahana Motor Iii,JL. KUTOSARI,Kabupaten Pekalongan,-7.01602,109.68971
Berkah Bersama,JL.YOS SUDARSO KOMPLEK RUKO NO.8,Kabupaten Batang,-6.9062,109.73046
Amelia Jaya Motor,JL.DESA MENGUNENG WARUNG ASEM,Kabupaten Batang,-6.92515,109.7
Gapura,Jl. Warung Asem Pekalongan,Kabupaten Batang,-6.900678,109.533159
Usaha Baru Motor,Jl Re Martadinata 175B Batang,Kabupaten Batang,-6.907364,109.731762
Chrisma Motor,Jl. Raya Subah 78B Batang,Kabupaten Batang,-6.941913,109.775957
Toko Sanjaya Motor,Jl.Raya Limpung,Kabupaten Batang,-7.016389,109.921944
Mandala Bhumi,Jl.Raya No.54,Kabupaten Batang,-7.015556,109.923056
Wijaya Motor,JL. RAYA LIMPUNG - TERSONO KM 01 BABADAN LIMPUNG,Kabupaten Batang,-7.01716,109.92654
Insan motor service,Komp. Terminal Lama No. 40,Kabupaten Batang,-7.039218,109.902051
Kisno motor,Jl. Raya Limpung No. 88 Batang,Kabupaten Batang,-7.040129,110.364055
Bagus Motor,Komplek Pertokoan Sempu Blok B11/12 Limpung,Kabupaten Batang,-7.011304,109.922191
Jayanti Indah Motor,Jl. Raya Bawang Km 8 (barat Rsi),Kabupaten Batang,-7.401836,109.614854
Puji Motor,Jl.Sukarno Hatta No.303,Kabupaten Kendal,-6.92,110.202222
Kranggan Aji Motor,"Jl. Raya Barat, Kendal",Kabupaten Kendal,-6.92326,110.199692
Jadi Jaya Motor,Jl. Raya 60A Cepring Kendal,Kabupaten Kendal,-6.927431,110.144485
GunungÂ masÂ motor,Jl. Terminal Colt No. 14,Kabupaten Kendal,-6.919722,110.063056
Karisma Motor,Jl.Utama Timur No.132,Kabupaten Kendal,-6.97226,110.075497
Nirwana motor,Jl. Utama Timur No. 138,Kabupaten Kendal,-6.972414,110.072914
Toko 27,Jl. Raya 128 Nawangsari Weleri Kendal,Kabupaten Kendal,-6.971999,110.075677
Muncul Baru Motor,"Jl. Sujono 128, Sukorejo",Kabupaten Kendal,-7.085251,110.032487
Harapan Motor,"Jl. Raya Sukorejo-Parakan Km. 1,5",Kabupaten Kendal,-7.096696,110.058876
Nusa Indah Motor,Jl. Raya Kaliwungu 59 Kendal,Kabupaten Kendal,-6.941975,110.233923
Sumber Mulia,Jl. Raya Barat 350 Kaliwungu Kendal,Kabupaten Kendal,-6.955553,110.247285
Jono motor,JL. BEBENGAN GLAGAH RT.03/04 BOJA,Kabupaten Kendal,-7.62278,110.15961
Yan Motor,Jl. Pasar Boja Blok G Boja-Kendal,Kabupaten Kendal,-7.105992,110.260606
Jono Motor,Desa Bebengan,Kabupaten Kendal,-7.10624,110.252311
Cv. Inti Karya Niaga,Jl. Brigjen Katamso 4 RT 04/08 Tegalsari,Kota Tegal,-6.8595,109.13775
Sahabat Motor,"JL JEND A.YANI NO 212 , MINTARAGEN, TEGAL",Kabupaten Tegal,-6.8653,109.13658
Toko Sepeda Sahabat,Jl.A.Yani No.212 RT.002/001,Kabupaten Tegal,-6.86572,109.13644
Cempaka Kusuma Korter,Jl.Cempaka No.2 Rt.07/05 Kejambon Tegal Timur Tega,Kota Tegal,-6.87611,109.1405
Lukman Jaya Motor,JL. CIPTO MANGUNKUSUMO 171-173 TEGAL,Kota Tegal,-6.87575,109.10405
Nusantara motor,Jl. Ar Hkim No. 7,Kota Tegal,-7.083188,110.914344
Gemilang Motor,Jl.AR.Hakim No.48,Kota Tegal,-6.870833,109.136389
Sumber langgan motor,Jl. AR Hakim No. 101-103,Kota Tegal,-6.874416,109.136482
Restu jaya motor,KIOS SAMPING PASAR PESAYANGAN TEGAL,Kota Tegal,-6.917524,109.134155
Lukman motor,Jl. DR. Cipto Mangunkusumo Rt.04/02,Kota Tegal,-6.87576,109.10404
Sumber Jadi Motor,"JL. SI KLEPUH NO.5 RT01/RW01. KRAMAT, TEGAL",Kabupaten Tegal,-6.88589,109.15193
Jatimas Motor 2,JL. RAYA GARUDA DS. BABAKAN 02/04,Kabupaten Tegal,-6.79532,109.18027
Bintang Motor,Jl. Palaraya Mejasem Barat Tegal,Kabupaten Tegal,-6.886403,109.150792
Bina Makmur,JL. Pala Raya/Ruko Mejasem Asri 2 Tegal,Kabupaten Tegal,-7.353926,109.311395
Aneka Motor,Jl. Raya Suradadi 99 Tegal,Kabupaten Tegal,-6.875569,109.283245
Jati Mas Motor,Jl. Karang Jati Tarub Tegal,Kabupaten Tegal,-6.947462,109.184108
Awang Motor,Jl. Karangjati RT. 04/02 Karangjati,Kabupaten Tegal,-6.947457,109.188831
Gangsar Motor,Pagongan Rt.03/02,Kabupaten Tegal,-6.90125,109.12471
Toko Lancar Motor,JL. RAYA II,Kabupaten Tegal,-6.91101,109.12679
Gangsar Motor,Jl. Raya 2 Pagongan 44 Dukuhturi Tegal,Kabupaten Tegal,-6.90506,109.126263
Jawad Putra,Jl. Teuku Umar 46 Debong Tengah Tegal,Kabupaten Tegal,-6.885364,109.126675
